event_id,category,n_event_hours,mean_log_event,mean_log_baseline,log_diff,lift_pct,t_stat,p_value,event_name
747.0,special_event,7,2.3102164405016303,2.744148103483916,-0.4339316629822858,-35.20434666104764,-1.5026998555126465,0.18360393578361178,TCS NYC Marathon 2024
748.0,special_event,7,4.274868203971345,4.225615506165069,0.04925269780627595,5.04857726531216,0.7973222807760594,0.4556495666817093,TD Five Boro Bike Tour 2024
749.0,special_event,7,4.157450689101968,4.225615506165069,-0.06816481706310107,-6.589349580147397,-1.2887270888609321,0.244949726405265,TD Five Boro Bike Tour 2025
750.0,parade,7,4.035937063820721,5.151535690490194,-1.115598626669473,-67.22809611885529,-7.3268119045873945,0.000330266092710089,Macy's Thanksgiving Day Parade 2024
751.0,parade,7,3.9957801519394143,4.2976482806080485,-0.3018681286686342,-26.056443118667694,-1.7799026673817488,0.12539353825287702,NYC Pride March 2024
752.0,parade,7,3.8271185582026708,4.2976482806080485,-0.4705297224053777,-37.5328721748063,-2.700772105914031,0.03553948302042343,NYC Pride March 2025
753.0,parade,7,4.805448630652539,4.914597525746449,-0.10914889509390946,-10.340309132183856,-1.0944570578683042,0.31573335849191203,West Indian American Day Parade 2024
754.0,parade,7,4.073402055324457,4.60334037930448,-0.5299383239800228,-41.135872639024676,-1.973001668887686,0.09595016511321064,National Puerto Rican Day Parade 2024
755.0,parade,7,4.052359985498601,4.60334037930448,-0.5509803938058786,-42.36155504564978,-2.4374310987812886,0.05064819865683072,National Puerto Rican Day Parade 2025
756.0,parade_evening,7,5.229809117223644,5.239571843661173,-0.009762726437529068,-0.9715225728269439,-0.1052300584303117,0.9196230214847101,Village Halloween Parade 2024
757.0,special_event_evening,2,1.956011502714073,5.706455810330494,-3.750444307616421,-97.6492700936629,-2.448902845311115,0.2468051011835577,Times Square NYE Ball Drop 2024-25
758.0,parade,7,4.774300973873274,4.829079349489916,-0.05477837561664245,-5.330506461309725,-0.6336370574338577,0.549693781111509,Veterans Day Parade 2024
759.0,parade,7,4.12685641976835,4.56570988075716,-0.43885346098880973,-35.522474256404536,-3.0988725878260768,0.021146880215398043,St. Patrick's Day Parade 2024
760.0,parade,14,5.170929449735412,5.47187777708619,-0.3009483273507785,-25.98839844861005,-2.413782778610849,0.03126738920680845,St. Patrick's Day Parade 2025
