shock,elasticity,excess_demand_pct,implied_price_lift_pct,observed_fpm,implied_optimal_fpm,n_shock_hours,n_calendar_hours,foregone_rev_per_shock_hr,note
NYC sports,-0.5,4.381257378715797,8.762514757431594,6.51924888630175,7.090499032037636,4083,3489,737.2287447692455,
NYC sports,-0.7,4.381257378715797,6.258939112451139,6.51924888630175,6.927284704684526,4083,3489,526.5919605494614,
NYC sports,-0.9,4.381257378715797,4.868063754128664,6.51924888630175,6.836610078377243,4083,3489,409.5715248718036,
NYC sports,-1.2,4.381257378715797,3.6510478155964976,6.51924888630175,6.757269780358369,4083,3489,307.17864365385185,
NJ pregame (departure),-0.5,8.462402969431327,16.924805938862654,7.143087322886869,8.352040990328971,3552,504,1128.9588165671162,
NJ pregame (departure),-0.7,8.462402969431327,12.089147099187612,7.143087322886869,8.006625656774084,3552,504,806.3991546907961,
NJ pregame (departure),-0.9,8.462402969431327,9.402669966034807,7.143087322886869,7.814728249243592,3552,504,627.199342537286,
NJ pregame (departure),-1.2,8.462402969431327,7.052002474526106,7.143087322886869,7.646818017654412,3552,504,470.3995069029653,
Heavy rain,-0.5,16.770939005188556,33.54187801037711,5.892855320266309,7.869429663118052,7116,58,979.2857696501427,
Heavy rain,-0.7,16.770939005188556,23.95848429312651,5.892855320266309,7.304694136588982,7116,58,699.4898354643875,
Heavy rain,-0.9,16.770939005188556,18.634376672431728,5.892855320266309,6.990952177406166,7116,58,544.0476498056347,
Heavy rain,-1.2,16.770939005188556,13.975782504323798,5.892855320266309,6.716427963121203,7116,58,408.03573735422634,
Storm active,-0.5,1.60895359694464,,4.937178475951574,,186000,744,0.0,demand FALLING — pricing inapplicable per Cohen 2016 scoping
Storm active,-0.7,1.60895359694464,,4.937178475951574,,186000,744,0.0,demand FALLING — pricing inapplicable per Cohen 2016 scoping
Storm active,-0.9,1.60895359694464,,4.937178475951574,,186000,744,0.0,demand FALLING — pricing inapplicable per Cohen 2016 scoping
Storm active,-1.2,1.60895359694464,,4.937178475951574,,186000,744,0.0,demand FALLING — pricing inapplicable per Cohen 2016 scoping
